,iea6,iea4,rcp8,rcp6
wind,10.19571257,10.50340654,9.13903565,11.0014204
solar,10.19571257,10.50340654,9.13903565,11.0014204
nuclear,10.19571257,10.50340654,9.13903565,11.0014204
gas_ccs,25.39495308,25.39495308,25.76713329,25.39495308
coal_ccs,10.29079075,10.29079075,10.41451433,10.29079075
h2_green,17.05945533,17.44328004,16.92229268,17.13440453
h2_blue,21.56120223,22.17798856,21.34256152,21.68106558
evs,7.59145451,7.94834862,7.2369618,7.49961491
biofuel,23.66308458,23.66308458,23.66308458,23.66308458
ind_c_ccs,2000,2000,2000,2000
ind_p_ccs,2000,2000,2000,2000
hfc,-1538.461538,-1538.461538,-1538.461538,-1538.461538
ch4_energysupply,-66.66666667,-66.66666667,-66.66666667,-66.66666667
afforest,2000,2000,2000,2000
beccs,7.0900977,7.23850648,6.55960019,7.47322914
daccs,2000,2000,2000,2000
ew,2000,2000,2000,2000
meat,-92.53352307,-92.53352307,-94.9375187,-87.69472591
freight,-2000,-2000,-2000,-2000
ccs_total,2000,2000,2000,2000
ccs_biomass,2000,2000,2000,2000
ccs_fossil,2000,2000,2000,2000
co2_total,-2000,-2000,-2000,-2000
co2_energy,-2000,-2000,-2000,-2000
co2_energy_indprocess,-2000,-2000,-2000,-2000
co2_energysupply,-2000,-2000,-2000,-2000
co2_afolu,-2000,-2000,-2000,-2000
co2_ind,-2000,-2000,-2000,-2000
co2_rescom,-2000,-2000,-2000,-2000
co2_transp,-2000,-2000,-2000,-2000
co2_electricity,-2000,-2000,-2000,-2000
co2_indprocess,-2000,-2000,-2000,-2000
n2o_total,-7326.007326,-7326.007326,-7326.007326,-7326.007326
n2o_afolu,-7326.007326,-7326.007326,-7326.007326,-7326.007326
n2o_energy,-7326.007326,-7326.007326,-7326.007326,-7326.007326
n2o_indprocess,-7326.007326,-7326.007326,-7326.007326,-7326.007326
ch4_total,-66.66666667,-66.66666667,-66.66666667,-66.66666667
ch4_energy,-66.66666667,-66.66666667,-66.66666667,-66.66666667
ch4_afolu,-66.66666667,-66.66666667,-66.66666667,-66.66666667
ch4_ind,-66.66666667,-66.66666667,-66.66666667,-66.66666667
ch4_rescom,-66.66666667,-66.66666667,-66.66666667,-66.66666667
ch4_transp,-66.66666667,-66.66666667,-66.66666667,-66.66666667
ch4_indprocess,-66.66666667,-66.66666667,-66.66666667,-66.66666667
